ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
44,MANDIOCA 62.5,,,88.4,11.6,6.1,2.4,0.5,0.2,6.1,10.5,7.5,2.4,62.6,2.5,96.2,.,.,.,.,.,.,.,.,0.24,0.1,0.01,0.03,0.07,0.03,0.04,0.07,0.11,0.75,0.27,5,1200,35,8,.,.,10,2500,0.91,0.89,1620,1710,1135,43.8,53.8,2930,2910,2290,2320,2705,2755,2800,2980,0.8,0.5,0.4,0.6,0.6,0.9,6,1.7,7.5,2,0.09,0.02,0.05,0.04,0.03,0.01,0.02,0.02,0.06,0.01,0.03,0.03,0.07,0.01,0.04,0.03,0.02,0,0.01,0.01,0.08,0.01,0.04,0.04,0.1,0.01,0.05,0.05,0.13,0.01,0.06,0.06,0.14,0.04,0.1,0.07
45,MANDIOCA 65,,,88.2,11.8,5.5,2.4,0.5,0.2,4.8,8.5,6.2,2.4,65.0,2.5,96.2,.,.,.,.,.,.,.,.,0.25,0.1,0.01,0.03,0.07,0.03,0.04,0.07,0.11,0.75,0.27,4,850,28,12,.,.,10,2520,0.93,0.92,1610,1725,1150,45.5,55.9,2995,2985,2360,2385,2800,2850,2850,3025,0.8,0.5,0.4,0.6,0.6,0.9,6.1,1.7,7.5,2,0.09,0.02,0.05,0.05,0.03,0.01,0.02,0.02,0.06,0.01,0.03,0.03,0.07,0.01,0.03,0.03,0.02,0,0.01,0.01,0.12,0.01,0.06,0.06,0.11,0.01,0.06,0.06,0.13,0.01,0.06,0.06,0.14,0.04,0.1,0.07
46,MANDIOCA 70,,,89.0,11,4.5,2.5,0.5,0.2,3.0,6.5,5.1,2.3,70.0,2.4,97.4,.,.,.,.,.,.,.,.,0.24,0.1,0.01,0.03,0.07,0.03,0.03,0.06,0.11,0.75,0.3,3,350,22,19,.,.,10,2600,0.96,0.96,1665,1780,1190,49,60.2,3130,3120,2500,2520,3005,3045,3050,3190,0.9,0.5,0.5,0.6,0.6,0.9,6.3,1.7,7.5,2.1,0.09,0.02,0.05,0.06,0.04,0.02,0.03,0.03,0.09,0.02,0.05,0.05,0.07,0.01,0.04,0.04,0.02,0,0.01,0.01,0.13,0.02,0.07,0.07,0.11,0.01,0.06,0.06,0.14,0.02,0.06,0.06,0.14,0.04,0.11,0.07
47,MELAZA CAA,,,72.6,27.4,9.4,4.3,0.1,0,0.0,0.0,0.0,0.0,0.0,47.2,88.4,.,.,.,.,.,.,.,.,0.77,0.07,0.01,0.05,0.03,0.03,0.38,1.4,0.36,3.64,0.45,15,180,20,12,5,0.9,300,1980,0.76,0.77,1260,1350,890,.,.,2120,2100,1500,1500,1640,1900,2230,2230,1.9,1.5,1.3,1.9,1.7,0,4.9,2.5,8,2.1,0.02,0,0.01,0,0.02,0,0.01,0,0.06,0.01,0.03,0.01,0.04,0.01,0.02,0.01,0.01,0,0,0,0.03,0.01,0.02,0.01,0.08,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.09,0.05,0.08,0.03
48,MELAZA REMOLACHA,,,71.8,28.2,8.7,9.1,0.1,0,0.0,0.0,0.0,0.0,0.0,46.1,92.2,.,.,.,.,.,.,.,.,0.2,0.03,0.01,0.02,0.02,0.02,0.7,0.8,0.05,3.8,0.45,8,110,24,13,2.3,0.06,100,1880,0.7,0.71,1190,1280,830,.,.,2255,2210,1560,1560,1590,1920,2220,2220,3.6,3.2,2.7,3.5,3.6,0,5.5,5.2,8,2.1,0.13,0.04,0.07,0.03,0.02,0.01,0.01,0.01,0.07,0.01,0.04,0.01,0.06,0.01,0.03,0.01,0.05,0.01,0.03,0.01,0.21,0.05,0.12,0.05,0.16,0.06,0.09,0.06,0.07,0.03,0.04,0.03,0.18,0.11,0.17,0.07
49,VINAZAS REMOLACHA,,,53.0,47,17.6,17.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,8.0,90.8,.,.,.,.,.,.,.,.,0.29,0.22,0.02,0.04,0.07,0.06,1.9,1.7,0.08,6.8,1.2,11,240,50,40,.,.,800,1025,0.37,0.36,630,685,410,.,.,1040,970,600,600,.,600,.,.,12.2,7.2,5.4,5.4,5.4,0,3.6,10.3,.,.,0.1,0.04,0.07,0.03,0.04,0.01,0.02,0.01,0.11,0.03,0.07,0.02,0.11,0.04,0.07,0.03,0.07,0.02,0.05,0.01,0.06,0.02,0.07,0.01,0.11,0.04,0.07,0.03,0.07,0.02,0.05,.,0.45,0.36,0.42,.
50,PATATA,,,89.0,11,5.8,8.9,0.5,0.4,2.4,7.0,2.9,1.7,61.0,2.5,96.7,.,.,.,.,.,.,.,.,0.06,0.2,0.04,0.11,0.13,0.1,0.02,0.24,0.15,2.2,0.03,7,64,43,40,.,0.1,1000,2520,0.95,0.95,1610,1725,1145,27.5,47,2930,2880,2250,2270,2435,2735,3100,.,4.5,4,4.5,4,.,2.5,7.7,5.9,7.2,1.9,0.43,0.25,0.28,.,0.12,0.07,0.08,.,0.25,0.12,0.14,.,0.35,0.17,0.2,.,0.11,0.05,0.06,.,0.32,0.17,0.19,.,0.43,0.26,0.26,.,0.41,0.23,0.24,.,0.52,.,0.27,.
51,BATATA,,,88.0,12,2.8,3.3,0.7,0.5,2.8,8.8,3.6,2.1,62.9,7.5,98,.,.,.,.,.,.,.,.,0.11,0.14,0.02,0.04,0.08,0.04,0.15,0.09,0.05,0.65,0.07,8,35,11,17,.,.,.,2640,0.97,0.97,1695,1815,1225,31.5,49.7,3085,3060,2430,2460,2540,2840,3150,3100,1.5,1,0.7,1.2,.,1.1,7.2,2.2,7.5,2,0.12,0.04,0.07,.,0.05,0.02,0.03,.,0.11,0.03,0.06,.,0.11,0.02,0.05,.,0.04,0.01,0.02,.,0.13,0.04,0.07,.,0.13,0.03,0.07,.,0.15,0.04,0.08,.,0.25,0.1,0.15,.
52,SEMILLA ALGODON,,,90.9,9.1,3.7,20.8,17.8,16.9,25.6,39.8,33.0,8.2,0.0,0.9,92.1,0.2,4.1,0.2,0.4,3.3,8.6,0,0.2,0.14,0.58,0.45,0.13,0.16,0.11,0.05,0.05,0.31,1.05,0.22,9,50,14,36,25,0.25,2500,2910,1.02,1.03,1885,2000,1385,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.6,7.7,12.8,6.3,1.8,0.87,0.31,0.67,0.64,0.27,0.64,0.85,1.88,0.54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
53,HARINA DE ALGODON 38,,,90.0,10,6,38.7,1.6,1.06,16.5,31.1,21.6,7.4,1.7,1.1,90.2,0.01,0.25,0.01,0.02,0.2,0.54,0,0.01,0.2,0.95,0.72,0.17,0.29,0.21,0.05,0.05,0.5,1.3,0.3,16,160,19,62,13,0.35,2700,2170,0.75,0.71,1360,1465,935,.,.,2770,2490,1420,1550,1400,1520,2750,2850,31,27.1,25.9,29,29.4,15.5,19.2,26.6,5.5,1.6,1.55,0.58,1.24,1.24,0.46,1.24,1.72,4.18,2.79,0.99,0.44,0.92,0.85,0.32,0.84,1.24,3.64,2.15,1.02,0.45,0.93,0.9,0.34,0.89,1.29,3.76,2.23,1.04,0.42,0.86,0.85,0.28,0.88,1.29,3.51,1.92
54,ALTRAMUZ DULCE AUSTRALIANO,,,90.7,9.3,3.5,31.7,4.9,4.2,13.8,25.1,18.0,1.3,1.3,5.0,80.8,0.02,0.29,0.02,0.21,1.29,2,0.21,0.13,0.29,0.35,0.2,0.14,0.21,0.15,0.04,0.05,0.16,0.94,0.24,4,56,40,30,.,0.04,2700,2960,1.09,1.1,1920,2050,1420,.,.,3440,3170,2030,2250,1600,1950,3350,3700,27.3,25.4,26.3,26.6,25.4,4.9,10.8,19,6.8,1.5,1.48,0.2,0.63,1.11,0.25,1.3,1.27,3.3,2.47,1.23,0.16,0.48,0.88,0.19,1.03,0.98,3,2.05,1.24,0.17,0.5,0.9,0.2,1.05,1.02,3.07,2.15,1.38,0.18,0.57,1.02,0.22,1.23,1.05,2.97,2.23
55,HNA.CACAHUETE 48,,,90.5,9.5,6,48.1,1.5,1,7.5,13.3,10.7,2.5,0.0,8.0,86.4,0,0.09,0.01,0.03,0.49,0.26,0.01,0.08,0.18,0.62,0.43,0.16,0.24,0.17,0.02,0.03,0.35,1.2,0.29,15,220,42,55,3,0.39,1900,2700,0.98,0.95,1730,1850,1250,.,.,3550,3150,1930,2000,2000,2310,3530,3550,43.3,41.4,39.9,41.8,41.4,12,17.3,32,5.4,1.4,1.54,0.5,1.17,1.3,0.49,1.61,1.92,5.39,4.28,1.26,0.42,0.89,0.97,0.37,1.39,1.64,4.85,3.17,1.31,0.43,0.92,1.03,0.38,1.43,1.71,4.96,3.25,1.22,0.43,0.94,1.06,0.42,1.45,1.69,4.79,3.42
56,HNA.CACAHUETE 52,,,91.9,8.1,5,52.5,1.4,0.9,6.8,12.4,9.6,2.4,0.0,8.4,87.8,0,0.08,0.01,0.03,0.44,0.23,0.01,0.07,0.21,0.7,0.49,0.18,0.27,0.2,0.02,0.03,0.33,1.18,0.31,15,170,42,55,3,0.39,1910,2800,1.01,0.98,1800,1925,1305,.,.,3690,3245,1970,2045,2200,2470,3670,3690,47.3,45.2,43.6,45.7,45.2,13.1,18.6,35,5.4,1.4,1.69,0.55,1.28,1.42,0.54,1.76,2.1,5.88,4.67,1.4,0.45,0.97,1.08,0.41,1.51,1.79,5.29,3.46,1.45,0.46,1.01,1.13,0.42,1.57,1.87,5.41,3.55,1.35,0.47,1.03,1.18,0.46,1.58,1.85,5.23,3.74
57,HNA. CAMELINA SOLVENTES,,,91.2,8.8,5.9,37.0,3.0,2.1,13.6,32.2,18.7,4.5,0.0,8.9,95.8,0,0.17,0,0.06,0.38,0.52,0.74,0.22,0.7,0.92,0.59,0.33,0.37,0.35,0.0,.,0.35,1.2,0.75,8,126,24,53,1100,.,.,2450,0.87,0.83,1550,1670,1095,.,.,3160,2850,1750,1870,.,1800,3100,3200,28.9,27.4,25.9,28.9,#ÁVALOR!,9.9,13.8,24.1,6.1,1.7,1.71,0.67,1.5,1.46,0.41,1.32,1.87,3.03,2.85,1.11,0.52,0.93,0.77,0.23,0.86,1.24,2.42,1.51,1.2,0.54,1.02,0.92,0.27,0.92,1.33,2.55,1.65,.,.,.,.,.,.,.,.,0
58,TORTA CAMELINA PRESION,,,92.5,7.5,5.7,33.9,13.6,10.9,10.9,25.1,14.8,4.2,0.0,4.7,90.5,0,0.9,0.01,0.3,1.99,2.68,3.83,1.16,0.32,0.92,0.59,0.33,0.37,0.35,0.0,.,0.39,1.37,0.75,8,152,24,55,1100,.,.,2990,1.07,1.09,1940,2065,1430,.,.,3660,3354,2290,2410,.,2350,3700,.,26.4,25.1,23.7,26.4,#ÁVALOR!,9,12.2,22.1,6.1,1.7,1.57,0.61,1.37,1.34,0.38,1.21,1.72,2.78,2.61,1.02,0.47,0.85,0.71,0.21,0.79,1.13,2.22,1.38,1.1,0.49,0.93,0.84,0.24,0.85,1.22,2.33,1.51,.,.,.,.,.,.,.,.,0
59,SEMILLA COLZA 00 ,,,91.2,8.8,4,19.0,40.7,38.7,9.3,17.0,12.7,3.0,0.0,4.0,93.5,0.08,1.93,0.15,0.77,21.65,8.51,3.48,1.55,0.4,0.6,0.42,0.15,0.2,0.16,0.03,0.06,0.24,0.79,0.3,4,120,36,45,100,0.6,4200,4315,1.63,1.7,2975,3100,2440,.,.,4860,4640,3700,3820,3530,4050,5000,5120,15.8,14.3,13.3,14.6,14.4,2.1,4.7,10.6,7.2,2,1.08,0.4,0.91,0.86,0.23,0.76,1,1.16,1.55,0.79,0.32,0.68,0.56,0.15,0.52,0.66,0.88,1.04,0.82,0.32,0.73,0.61,0.16,0.55,0.71,0.94,1.13,0.87,0.36,0.77,0.68,0.18,0.64,0.83,1.04,1.25
60,HNA. COLZA 00 SOLVENTES 33%PB,,,88.4,11.6,6.9,33.0,2.6,2,12.6,26.8,20.3,6.1,0.0,8.0,88.9,0,0.1,0.01,0.04,1.09,0.43,0.18,0.08,0.7,1.1,0.7,0.4,0.36,0.31,0.05,0.08,0.42,1.27,0.6,7,185,55,58,14,0.94,6400,2270,0.82,0.8,1430,1540,1000,.,.,2900,2650,1620,1710,1500,1680,2840,2970,27.7,25.1,23.8,25.7,26.4,9,13.8,22,6.8,1.9,1.85,0.66,1.45,1.46,0.44,1.3,1.68,2.01,2.69,1.37,0.55,1.13,1.02,0.32,0.96,1.21,1.63,1.96,1.39,0.56,1.18,1.06,0.34,0.99,1.28,1.67,2.07,1.48,0.6,1.22,1.17,0.36,1.09,1.38,1.81,2.21
61,HNA. COLZA 00 SOLVENTES 36%PB,,,88.5,11.5,6.8,36.0,2.2,1.7,11.8,25.1,19.0,5.8,0.0,8.0,89.6,0,0.08,0.01,0.03,0.92,0.36,0.15,0.07,0.7,1.1,0.7,0.4,0.36,0.31,0.05,0.08,0.42,1.27,0.6,7,185,55,58,14,0.94,6400,2290,0.82,0.8,1445,1555,1010,.,.,2915,2645,1605,1700,1550,1735,2880,3000,30.2,27,25.9,28.1,28.8,9,13.8,22,6.8,1.9,2.01,0.72,1.58,1.59,0.48,1.42,1.84,2.2,2.93,1.49,0.6,1.24,1.11,0.35,1.05,1.32,1.78,2.14,1.51,0.62,1.28,1.16,0.37,1.08,1.4,1.82,2.26,1.61,0.65,1.33,1.27,0.39,1.19,1.51,1.98,2.41
62,TORTA COLZA 00 PRESION 7.3%EE,,,89.2,10.8,7,31.2,7.3,6.6,11.6,26.9,17.0,6.0,0.0,7.0,90.2,0.01,0.33,0.03,0.13,3.68,1.45,0.59,0.26,0.7,1.04,0.78,0.27,0.34,0.29,0.04,0.04,0.45,1.15,0.58,7,180,52,55,20,0.9,6500,2540,0.91,0.89,1620,1740,1160,.,.,3125,2870,1870,1980,1750,1950,3100,3300,26.2,23.7,22.8,24.3,25,8.3,12.7,20.3,6.8,1.9,1.78,0.63,1.37,1.4,0.42,1.24,1.61,1.9,2.54,1.28,0.52,1.04,0.97,0.3,0.9,1.14,1.52,1.86,1.3,0.53,1.08,1.01,0.32,0.93,1.21,1.56,1.96,1.4,0.56,1.13,1.11,0.34,1.02,1.3,1.67,2.09
63,TORTA COLZA 00 PRESION 12.7EE,,,91.6,8.4,6.4,29.7,12.7,10.2,11.3,26.3,16.5,6.0,0.0,7.5,91,0.02,0.51,0.04,0.2,5.69,2.24,0.91,0.41,0.7,1.15,0.87,0.28,0.39,0.37,0.06,0.04,0.48,1.2,0.68,6,190,56,65,20,0.9,6500,2860,1.03,1.04,1850,1970,1350,.,.,3460,3200,2190,2300,2080,2310,3410,3625,24.9,22.6,21.7,23.2,23.8,7.9,12,19.3,6.7,1.9,1.69,0.6,1.31,1.33,0.4,1.18,1.53,1.81,2.42,1.19,0.49,1.02,0.89,0.29,0.9,1.09,1.36,1.77,1.2,0.5,1.03,0.93,0.29,0.92,1.12,1.38,1.86,1.27,0.52,1.07,0.99,0.31,0.96,1.16,1.43,1.98
64,TORTA COPRA PRESION,,,90.9,9.1,5.8,20.8,7.6,5.7,12.6,46.6,25.0,6.0,0.9,8.5,99.3,4.39,0.51,0,0.17,0.4,0.11,0,0,0.15,0.54,0.33,0.14,0.25,0.16,0.06,0.63,0.3,1.81,0.31,25,480,70,55,7,0.2,1020,2670,0.96,0.95,1710,1830,1230,.,.,3110,2900,1960,2120,1510,1670,3100,3250,16.2,13.9,13.5,12.5,12.9,11.4,16,16.1,4.9,1.6,0.5,0.3,0.61,0.67,0.16,0.68,1,2.29,1.47,0.27,0.22,0.4,0.38,0.09,0.44,0.69,1.28,0.72,0.29,0.23,0.42,0.42,0.1,0.46,0.72,1.37,0.85,0.2,0.24,0.36,0.4,0.11,0.49,0.75,1.94,0.94
65,HNA. COPRA SOLVENTE,,,91.0,9,6.3,21.4,2.5,1.6,14.3,49.7,26.4,6.3,1.3,8.5,98.7,1.25,0.15,0,0.05,0.11,0.03,0,0,0.17,0.61,0.38,0.16,0.29,0.18,0.06,0.6,0.31,1.5,0.31,25,480,70,55,5,0.15,980,2390,0.85,0.81,1510,1625,1060,.,.,2870,2670,1700,1840,1130,1330,2800,3050,16.9,14.6,14.1,13.1,13.5,11.8,16.8,16.6,5,1.6,0.51,0.31,0.63,0.67,0.16,0.7,1.03,2.35,1.51,0.28,0.23,0.4,0.4,0.09,0.45,0.7,1.32,0.74,0.3,0.24,0.42,0.44,0.1,0.48,0.74,1.41,0.88,0.22,0.25,0.37,0.4,0.12,0.5,0.77,2,0.97
66,SEMILLA GIRASOL,,,95.6,4.4,3.2,16.4,41.7,39.6,17.6,26.2,17.6,5.0,0.5,2.2,94.6,0.12,2.57,0.12,1.58,8.72,25.75,0.16,0.12,0.27,0.5,0.44,0.08,0.17,0.08,0.02,0.06,0.33,0.84,0.17,21,140,24,52,240,1.1,3000,4350,1.61,1.68,2980,3110,2415,.,.,4670,4470,3530,3670,4100,4280,4850,.,13.3,12.8,12.6,13.3,13.4,2.3,4.5,10.8,6.1,2.1,0.59,0.37,0.67,0.59,0.21,0.67,0.79,1.31,1.46,0.46,0.33,0.56,0.47,0.17,0.55,0.63,1.18,1.02,0.47,0.34,0.58,0.48,0.18,0.56,0.65,1.21,1.09,0.5,0.35,0.57,0.52,0.19,0.61,0.68,1.19,1.17
