ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
67,SEMILLA GIRASOL ALTO OLEICO,,,93.9,6.1,3.5,16.9,41.1,39,17.3,26.1,17.5,5.9,0.5,2.3,96.5,0.08,1.87,0.08,1.64,31.98,3.2,0.12,0.08,0.22,0.51,0.45,0.08,0.17,0.08,0.02,0.06,0.33,0.84,0.17,21,140,19,52,240,1.1,3000,4185,1.56,1.62,2850,2985,2300,.,.,4585,4380,3460,3550,4030,4170,4850,5000,13.7,13.2,13,13.7,13.9,2.3,4.1,10.4,6.1,2.1,0.61,0.39,0.69,0.61,0.22,0.69,0.81,1.35,1.5,0.47,0.34,0.58,0.48,0.18,0.57,0.65,1.22,1.05,0.49,0.35,0.6,0.49,0.18,0.58,0.67,1.24,1.13,0.52,0.36,0.59,0.54,0.2,0.63,0.7,1.23,1.2
68,HNA.GIRASOL 28,,,89.4,10.6,6,28.0,1.3,0.9,26.0,39.0,27.5,9.3,1.8,4.1,90.8,0,0.06,0,0.04,0.2,0.59,0,0,0.4,0.9,0.79,0.11,0.27,0.14,0.03,0.1,0.54,1.35,0.27,33,225,35,90,11,1.3,2750,1965,0.68,0.6,1220,1325,820,.,.,2355,2165,1165,1295,1190,1420,2320,2500,21.6,21,21.6,22.1,22.7,6.4,10.2,18.3,5.9,2,1,0.63,1.12,1.01,0.36,1.13,1.37,2.27,2.46,0.76,0.54,0.91,0.78,0.29,0.9,1.07,2.04,1.8,0.79,0.54,0.93,0.8,0.29,0.93,1.11,2.04,1.9,0.81,0.56,0.91,0.85,0.31,1,1.17,2.09,2
69,HNA.GIRASOL 32,,,89.9,10.1,6.2,32.0,1.2,0.8,22.1,35.2,25.2,8.4,1.8,4.1,90.6,0,0.05,0,0.03,0.18,0.55,0,0,0.4,1.05,0.87,0.18,0.29,0.16,0.03,0.12,0.56,1.5,0.35,34,222,35,90,11,1.3,2750,2060,0.71,0.63,1285,1390,875,.,.,2535,2315,1285,1395,1340,1560,2475,2600,25.3,24.3,25,25.6,25.9,7.1,11.1,21,5.8,2,1.14,0.72,1.28,1.15,0.42,1.3,1.57,2.59,2.82,0.88,0.63,1.07,0.9,0.34,1.05,1.24,2.36,2.08,0.91,0.64,1.09,0.94,0.34,1.08,1.27,2.38,2.2,0.95,0.65,1.07,0.98,0.36,1.16,1.35,2.41,2.31
70,HNA.GIRASOL 36,,,90.4,9.6,6.4,36.0,1.1,0.8,18.2,31.4,22.9,7.5,1.8,4.1,90.4,0,0.05,0,0.03,0.17,0.5,0,0,0.4,1.15,0.95,0.2,0.31,0.18,0.03,0.14,0.58,1.6,0.43,35,220,35,90,11,1.3,2750,2165,0.75,0.7,1355,1465,930,.,.,2710,2460,1400,1490,1500,1740,2600,2750,29.2,28.4,29.2,29.2,30.2,8,12.4,23.8,5.7,2,1.29,0.81,1.44,1.3,0.47,1.45,1.76,2.92,3.17,1.02,0.71,1.21,1.04,0.39,1.2,1.43,2.68,2.38,1.04,0.72,1.24,1.06,0.39,1.22,1.46,2.74,2.5,1.08,0.74,1.21,1.13,0.41,1.31,1.53,2.74,2.63
71,TORTA GIRASOL PRESION 31%PB,,,94.5,5.5,7,31.0,9.1,6.4,20.7,34.9,22.0,7.0,1.8,4.1,93.4,0.02,0.41,0.02,0.25,1.4,4.14,0.03,0.02,0.49,1.0,0.81,0.19,0.3,0.15,0.03,0.13,0.57,1.55,0.39,34,221,33,97,11,1.3,2750,2650,0.94,0.91,1685,1810,1200,.,.,3005,2765,1730,1830,1880,2160,3050,3200,24.8,23.6,24.5,24.5,24.5,7.5,11.6,22.4,5.8,2,1.11,0.7,1.24,1.12,0.4,1.26,1.52,2.51,2.73,0.87,0.61,1.03,0.88,0.33,1.03,1.23,2.29,2.02,0.9,0.62,1.06,0.92,0.33,1.05,1.26,2.34,2.13,0.93,0.63,1.03,0.97,0.35,1.12,1.32,2.36,2.24
72,TORTA GIRASOL PRESION 34%PB,,,94.8,5.2,7,34.0,8.5,6,20.1,32.7,21.2,6.2,1.8,4.1,93.3,0.02,0.39,0.02,0.24,1.31,3.87,0.02,0.02,0.32,1.1,0.91,0.19,0.3,0.17,0.03,0.13,0.57,1.55,0.39,34,221,33,97,11,1.3,2750,2690,0.95,0.94,1715,1840,1225,.,.,3110,2840,1770,1870,1945,2235,3100,3250,27.2,26.5,27.2,26.9,26.9,7.5,11.6,22.4,5.8,2,1.21,0.77,1.36,1.22,0.44,1.38,1.67,2.75,2.99,0.96,0.67,1.13,0.97,0.36,1.13,1.35,2.51,2.21,0.98,0.68,1.16,1,0.37,1.16,1.38,2.56,2.33,1.02,0.69,1.13,1.06,0.38,1.23,1.45,2.59,2.45
73,GUISANTES PRIMAVERA,,,89.3,10.7,2.8,21.5,1.0,0.8,6.0,12.1,7.4,0.7,42.5,3.5,94.1,0,0.1,0,0.02,0.19,0.39,0.09,0.02,0.08,0.4,0.21,0.15,0.17,0.18,0.02,0.07,0.12,0.96,0.18,7,80,13,34,6,0.17,580,2810,1.05,1.06,1820,1940,1330,20,34,3450,3275,2350,2420,2420,2670,3500,3560,17.2,17.8,18.8,18.1,17.4,2.1,8.3,12.6,7.8,1.9,1.54,0.22,0.52,0.82,0.2,0.89,1.01,1.83,1.68,1.25,0.16,0.36,0.58,0.13,0.68,0.75,1.55,1.22,1.28,0.17,0.38,0.63,0.14,0.71,0.79,1.63,1.31,1.29,0.18,0.4,0.66,0.16,0.75,0.85,2.64,1.34
74,GUISANTES TRATADOS CALOR,,,88.1,11.9,2.8,20.6,1.4,1.1,6.0,12.1,7.4,0.7,42.5,3.5,94.8,0,0.13,0,0.03,0.27,0.55,0.12,0.02,0.08,0.4,0.21,0.15,0.17,0.18,0.02,0.07,0.12,1.05,0.18,9,95,13,45,7.5,0.17,630,2885,1.09,1.1,1875,2000,1390,29.8,38.7,3460,3290,2380,2440,2520,2740,3550,3650,18.7,17.3,18.3,18.1,17.5,6.2,12.4,14.1,7.7,1.6,1.47,0.21,0.49,0.78,0.19,0.85,0.97,1.75,1.61,1.26,0.16,0.36,0.59,0.13,0.68,0.76,1.56,1.21,1.29,0.17,0.38,0.62,0.14,0.72,0.79,1.61,1.29,1.29,0.17,0.4,0.67,0.16,0.75,0.85,1.58,1.33
75,HABA CABALLAR <0.5% Taninos,,,88.3,11.7,2.9,26.5,1.5,1.1,8.2,13.3,9.8,1.3,36.9,3.7,96.5,0,0.16,0,0.03,0.29,0.56,0.05,0,0.14,0.5,0.3,0.2,0.22,0.2,0.04,0.07,0.16,1.14,0.22,12,55,10,38,4,0.09,1660,2780,1.03,1.04,1795,1920,1315,13.7,28.4,3400,3180,2220,2300,2350,2600,3200,3500,22.5,21.7,22.8,21.7,21.2,4.6,10.3,16.8,7.4,1.6,1.67,0.19,0.5,0.9,0.21,1.06,1.17,2.31,2.04,1.4,0.15,0.39,0.7,0.16,0.87,0.92,2.01,1.63,1.44,0.15,0.4,0.72,0.16,0.88,0.94,2.1,1.71,1.44,0.15,0.38,0.73,0.17,0.91,0.99,2.14,1.63
76,HABA CABALLAR DESCASCARILLADA,,,88.7,11.3,3,30.0,1.6,1.2,1.7,7.5,1.5,0.5,41.3,3.7,98.4,0,0.17,0,0.04,0.31,0.6,0.05,0,0.09,0.5,0.3,0.2,0.22,0.2,0.04,0.07,0.16,1.14,0.22,12,52,10,38,4,0.09,1660,2880,1.08,1.09,1870,1995,1380,15.3,31.8,3530,3285,2355,2385,2700,2900,3600,3750,25.8,24.9,26.1,25.8,25.8,5.2,10.9,19,7.4,1.6,1.92,0.21,0.59,1.05,0.24,1.2,1.35,2.31,2.31,1.65,0.17,0.46,0.84,0.18,0.98,1.08,2.4,1.87,1.69,0.17,0.47,0.87,0.2,1.04,1.19,2.57,1.85,1.44,0.15,0.38,0.73,0.17,0.91,0.99,2.14,1.85
77,LENTEJAS,,,88.0,12,2.6,24.4,1.3,1,4.1,8.8,5.4,0.3,40.5,3.0,92.6,0,0.18,0,0,0.17,0.53,0.1,0,0.07,0.41,0.24,0.13,0.16,0.13,0.02,0.06,0.11,0.92,0.18,10,90,16,30,8,0.13,1300,2830,1.06,1.07,1835,1955,1350,12.2,26.3,3440,3245,2330,2400,2450,2650,3550,.,20.3,19.8,20.7,19.8,.,4.6,9.5,15.5,7.6,1.6,1.73,0.22,0.44,0.78,0.18,0.93,1,1.85,1.78,1.35,0.14,0.27,0.52,0.11,0.68,0.7,1.41,1.25,1.39,0.16,0.3,0.57,0.12,0.71,0.75,1.48,1.37,1.42,0.17,0.37,0.59,0.13,0.76,0.8,1.54,1.42
78,SEMILLA LINO,,,90.7,9.3,4.8,22.0,34.7,33,8.5,17.0,10.2,3.9,0.0,3.0,90.8,0,2.14,0,1.65,6.92,4.29,16.81,0.33,0.3,0.61,0.42,0.11,0.15,0.09,0.06,0.07,0.36,0.85,0.29,16,150,25,45,22,0.35,2700,3950,1.46,1.48,2680,2810,2145,.,.,4530,4290,3355,3470,3050,3555,4600,4870,18.5,16.9,13.2,18.3,18.5,4.2,6.9,14,6,1.8,0.82,0.39,0.83,0.84,0.35,0.95,1.08,2.09,2.02,0.62,0.32,0.67,0.6,0.27,0.69,0.78,1.55,1.42,0.65,0.33,0.69,0.64,0.28,0.73,0.83,1.61,1.56,0.72,0.31,0.66,0.67,0.27,0.76,0.87,1.86,1.72
79,TORTA LINO PRESION,,,91.0,9,5.6,31.5,7.6,5.7,9.9,23.2,14.7,5.4,0.0,5.0,81.9,0,0.37,0,0.29,1.2,0.74,2.91,0.06,0.35,0.8,0.56,0.13,0.21,0.11,0.1,0.1,0.45,1.15,0.39,18,160,40,60,10,0.3,1390,2675,0.96,0.93,1710,1835,1230,.,.,3300,3040,2010,2115,1480,1700,3300,3480,26.1,24.6,18.9,25.8,26.1,11.9,16,22,5.6,1.8,1.18,0.56,1.19,1.2,0.5,1.32,1.29,2.84,2.9,0.88,0.46,0.96,0.86,0.38,0.97,0.93,2.13,2.03,0.92,0.47,1,0.92,0.4,1.02,1.2,2.24,2.17,0.82,0.41,0.81,0.84,0.35,0.99,1,2.35,1.62
80,HNA.LINO SOLVENTE,,,89.5,10.5,6,34.0,2.8,1.8,9.7,22.6,14.4,5.3,0.0,5.1,81,0.27,0.15,0,0.09,0.38,0.24,0.93,0.02,0.38,0.81,0.56,0.13,0.2,0.11,0.11,0.07,0.6,1.3,0.39,20,260,40,60,12,0.3,1210,2390,0.85,0.82,1515,1630,1065,.,.,3050,2790,1750,1855,1240,1420,3020,3200,28.6,26.5,20.4,28.2,28.6,12.8,17.2,23.7,5.6,1.7,1.27,0.6,1.28,1.29,0.54,1.43,1.67,3.06,3.09,0.95,0.49,1.04,0.93,0.41,1.04,1.2,2.3,2.17,0.98,0.49,1.05,0.98,0.42,1.07,1.25,2.39,2.29,0.86,0.42,0.83,0.88,0.38,1.09,1.17,2.45,1.7
81,TORTA PALMISTE PRESION,,,91.6,8.4,4.4,15.6,7.6,6.8,17.3,58.8,35.0,10.0,0.0,2.0,96.8,1.03,0.55,0,0.14,1.23,0.07,0.03,0,0.27,0.54,0.36,0.18,0.26,0.2,0.03,0.16,0.26,0.62,0.24,23,590,210,40,.,.,.,2450,0.87,0.84,1550,1670,1090,.,.,2550,2400,1580,1770,660,1170,2500,2700,12.5,9.4,7.8,10.1,10.9,8.5,12.5,11.5,5.4,1.8,0.43,0.28,0.46,0.44,0.12,0.5,0.73,1.73,1.12,0.22,0.2,0.33,0.26,0.07,0.33,0.5,1.42,0.61,0.26,0.21,0.34,0.29,0.08,0.36,0.53,1.45,0.67,0.2,0.17,0.23,0.17,0.07,0.28,0.41,1.14,0.51
82,HNA.PALMISTE SOLVENTES,,,90.2,9.8,4.5,16.3,1.8,1.2,20.2,63.8,40.2,12.0,0.0,2.0,98.2,0.18,0.09,0,0.02,0.21,0.01,0,0,0.25,0.59,0.47,0.15,0.26,0.17,0.02,0.16,0.29,0.62,0.27,28,410,210,45,.,.,.,1985,0.68,0.61,1230,1335,830,.,.,2170,2025,1200,1320,.,770,2100,2300,13,9.8,9,8.8,10.6,8.7,13.2,11.8,5.6,1.8,0.52,0.3,0.54,0.49,0.12,0.58,0.79,1.91,1.17,0.22,0.2,0.32,0.28,0.05,0.34,0.5,1.3,0.63,0.26,0.21,0.35,0.32,0.07,0.38,0.54,1.33,0.94,0.23,0.17,0.31,0.27,0.05,0.41,0.48,1.3,0.53
83,HABA SOJA TOSTADA,,,90.8,9.2,5.1,37.0,20.0,19,5.0,11.3,6.8,0.2,0.0,6.0,88.6,0.04,2.09,0.04,0.76,4.18,10.26,1.52,0.08,0.28,0.57,0.38,0.19,0.24,0.22,0.03,0.03,0.26,1.7,0.29,20,140,30,36,30,0.25,2200,3620,1.36,1.39,2430,2555,1900,.,.,4280,3915,2825,2995,2900,3350,4240,4480,33.3,31.1,32.2,31.5,31.5,14.6,18.4,25.9,6.8,1.5,2.26,0.53,1.07,1.47,0.49,1.68,1.78,2.7,2.9,1.88,0.43,0.86,1.14,0.39,1.36,1.46,2.35,2.24,1.91,0.44,0.88,1.17,0.41,1.39,1.49,2.42,2.41,1.92,0.44,0.88,1.19,0.4,1.41,1.51,2.35,2.41
84,HABA SOJA EXTRUSIONADA,,,90.8,9.2,5.1,37.0,20.0,19,5.0,11.3,6.8,0.2,0.0,6.0,88.6,0.04,2.09,0.04,0.76,4.18,10.26,1.52,0.08,0.28,0.57,0.38,0.19,0.24,0.22,0.03,0.03,0.26,1.7,0.29,20,140,30,36,30,0.25,2200,3680,1.38,1.41,2470,2600,1935,.,.,4430,4055,2925,3090,3160,3500,4470,.,33.3,32.2,32.6,31.5,31.5,13.9,17.7,25.7,6.9,1.6,2.26,0.53,1.08,1.47,0.49,1.68,1.78,2.7,2.9,1.95,0.45,0.89,1.17,0.39,1.39,1.42,2.35,2.32,1.97,0.46,0.9,1.22,0.4,1.43,1.49,2.4,2.41,1.99,0.46,0.92,1.23,0.42,1.44,1.58,2.43,2.41
85,HNA.SOJA 44,,,87.9,12.1,6.2,44.0,1.9,1.3,5.9,12.8,7.2,0.4,0.1,7.0,84.1,0,0.15,0,0.05,0.29,0.72,0.11,0.01,0.29,0.61,0.4,0.19,0.26,0.24,0.02,0.04,0.27,2.2,0.42,13,120,33,48,3.7,0.32,2700,2770,1.02,1.02,1795,1910,1310,.,.,3515,3145,1960,2110,1890,2240,3400,3350,39.6,37.4,38.3,37,37,16.2,21.4,31.7,6.9,1.5,2.68,0.59,1.25,1.72,0.57,1.96,2.07,3.18,3.45,2.33,0.52,1.03,1.41,0.48,1.66,1.74,2.92,2.83,2.35,0.53,1.07,1.46,0.49,1.7,1.78,2.99,2.94,2.33,0.52,1.05,1.45,0.49,1.72,1.78,2.86,2.8
86,HNA.SOJA 45.5,,,88.1,11.9,6.3,45.5,1.7,1.2,5.3,10.9,6.4,0.4,0.0,6.7,83,0,0.13,0,0.05,0.26,0.64,0.1,0,0.33,0.66,0.42,0.24,0.26,0.24,0.03,0.05,0.29,2.05,0.42,14,130,36,48,3.7,0.32,2720,2780,1.03,1.03,1800,1920,1315,.,.,3540,3160,1975,2125,1940,2280,3470,3650,41,38.9,39.8,38.2,38.2,16.8,21.9,32.8,6.9,1.6,2.78,0.64,1.33,1.77,0.6,2.05,2.19,3.31,3.57,2.47,0.57,1.12,1.47,0.51,1.76,1.86,3.08,2.96,2.5,0.58,1.15,1.53,0.52,1.81,1.92,3.11,3.11,2.47,0.57,1.13,1.51,0.51,1.8,1.94,3.01,2.96
